,Text
364,"According to centre Jamie Noon, the team demonstrated improved performance compared to their previous two losses. ""We made progress against a strong Irish team,"" he stated. ""We approached the Dublin match with confidence and proved that we could compete. Now, we must carry this momentum and positive aspects into the upcoming game against Italy. We understand it won't be easy, but we are determined to secure a victory."" England has now matched a record low of four consecutive championship defeats, including a loss to France in Paris last season. Under Andy Robinson, they have suffered four consecutive losses, while his predecessor, Sir Cl"
365,"England striker Michael Owen has expressed his contentment in Spain and has no immediate intentions of leaving Real Madrid to return to the Premier League. Despite often being a substitute in La Liga, the 25-year-old did not completely rule out a potential return to the Premier League in the future. ""I'm happy with my progress here,"" he stated on BBC Radio Five Live. ""England is my home country. It's a part of me, but it's uncertain whether, or when, I may play there again."" Owen, who transferred from Liverpool to the Bernabeu last summer, has scored "
366,"Despite the media portraying me as constantly benched, I have actually played as many games as anyone else on the team this year. Starting as the fourth-choice striker, I am pleased with how well I have adapted. Recent rumors have suggested a possible return to England, with Newcastle showing interest, but I am not yet ready to go back. I have a special connection to the Premiership, where I first made a name for myself. Liverpool holds a special place in my heart, but I have not given much thought to a potential return. It is flattering to be linked with top English clubs, but I"
367,Tune in to the complete interview with Garry Richardson on BBC Radio Five Live's Sportsweek at 0900 GMT this Sunday.
368,"Alastair Campbell, the former government communications chief, will serve as a media consultant for Sir Clive Woodward's 2005 Lions during their tour of New Zealand. Campbell, who departed Downing Street earlier this year, will offer guidance on media strategy before and during the tour. ""I aim to assist with the planning and preparation, as well as ensuring that the media and public have a positive experience during the tour,"" he stated. ""I am also excited to join the team for the later stages of the tour."" Woodward's decision to enlist the help of Tony Blair's former spin doctor stems from"
369,"Germany coach Jurgen Klinsmann has cautioned goalkeeper Jens Lehmann that he might need to leave Arsenal in order to maintain his hopes of participating in the World Cup. Despite being the backup to Oliver Kahn in the German team, Lehmann has been displaced by Manuel Almunia at Highbury. Klinsmann emphasized the importance of Lehmann being the first-choice goalkeeper at his club, stating that it would be challenging for any player not in that position. Lehmann is determined to secure his spot in the Germany squad for the 2006 World Cup. Klinsmann stressed that if Lehmann"
370,"England captain Jason Robinson has dismissed claims that the world champions are on a downward spiral. Despite their recent loss to Wales in the Six Nations opener, Robinson remains confident in the team's abilities. He emphasized that one defeat does not define a team and expressed his belief in the players' capabilities. Robinson is optimistic that the revamped England squad can turn things around and secure a victory against France, preventing a third consecutive championship defeat for the first time in over three decades."
371,"""He mentioned that we should have won the game last weekend. However, he believes that even though we under-performed and lost by only two points, if we perform well this week, we can secure the win we need. He pointed out that we demonstrated this in the autumn with some outstanding performances and we just need to continue in that direction. The start against Wales was disappointing, and we may feel disheartened by that. Nevertheless, we are not giving up. We will approach this week with determination."" Robinson also offered words of encouragement to 18-year-old Newcastle center Mathew Tait,"
372,"Robinson mentioned that he had spoken to Mathew and expressed his continued belief in him as an exceptional player. However, the decision to choose Olly (Barkley) was based on kicking abilities. Robinson advised Mathew to accept the situation, continue working diligently, and assured him that he would have opportunities to play in upcoming games."
373,"According to his agent, Liverpool winger Harry Kewell is facing difficulties in overcoming his Achilles tendinitis issue and might not be fit until March. Kewell, aged 26, was aiming to participate in the match against Fulham last weekend and be prepared for the Champions League game against Bayer Leverkusen on 22 February. However, Bernie Mandic mentioned that despite undergoing scans that did not reveal any significant findings, Kewell is still unable to alleviate the discomfort and return to playing despite his earnest attempts."
374,"In the Sydney Morning Herald, Mandic stated that Harry is facing challenges, but the club is making every effort to help him recover. Harry was eager to be fit for the Fulham game in order to prepare for the Leverkusen match. Kewell has been sidelined since December 19 and will not be able to participate in international duty this week, as Australia is set to play against South Africa in Durban on Wednesday."
375,"Rio Ferdinand expressed uncertainty about Malcolm Glazer's intentions following the American billionaire's latest bid to acquire Manchester United. The club confirmed that the Glazer Family Partnership has presented a third offer. Ferdinand emphasized the importance of having individuals with a genuine connection to the club's history and interests involved in its ownership. He highlighted the need to wait and see what Glazer's plans entail, expressing a desire for a resolution to the ongoing situation. Ferdinand also noted that the constant speculation surrounding Glazer's bids detracts from the team's on-field performance."
376,"Glazer currently holds a 28.1% stake in the club, and United's statement to the stock exchange acknowledged recent media speculation on the matter. The board confirmed that they have received a detailed proposal from Glazer, which is subject to certain conditions and could potentially lead to an offer for Manchester United. Further updates will be provided in the future. Previous bids from Glazer, which faced opposition from United supporters, were turned down by the board due to concerns about the high level of debt involved. However, it is believed that Glazer has managed to reduce the borrowing needed for his latest attempt"
377,"Julian White, the formidable prop known for his tough scrummaging, is anticipating a challenging match against a resurgent Wales in England's Six Nations opener in Cardiff on Saturday. The Leicester player has been in exceptional form, solidifying his position as England's number three. However, he is aware that Wales will closely examine his technique during the game. ""The Welsh scrum is a formidable opponent,"" White commented to BBC Sport. ""They have shown significant improvements in recent years."" White also acknowledged the strength in depth of the Welsh pack, highlighting Gethin Jenkins as a standout player. """
378,"Last autumn at Twickenham, he dominated South Africa's Os du Randt in the scrum, setting up England for a convincing 32-16 victory. Leicester, who acquired White from Bristol after their relegation from the Zurich Premiership in 2003, have benefitted from his contributions this season. Currently leading the Premiership table, the Tigers have also secured a spot in the Heineken Cup quarter-finals. White expressed satisfaction with his performance, crediting his teammates like Martin Johnson and Graham Rowntree for his success. As one of the more experienced players in the England squad, White"
379,"Being able to converse with respected individuals can boost your confidence significantly. ""I was amazed by many of them, so having a conversation and realizing we share similar thoughts is rewarding."" White was sidelined for most of last year's Six Nations due to a knee injury but is eager for the 2005 event to begin. Despite the intense atmosphere in Cardiff during the opening game, he appreciates it. ""I love the vibe. The Millennium Stadium is one of the top stadiums globally,"" he remarked. ""Playing there, surrounded by cheering and singing, is a highlight for me."" This year's Six Nations"
380,"Steve McClaren is eager for his Middlesbrough team to secure the top spot in their Uefa Cup group by defeating Partizan Belgrade. Boro has already advanced to the knockout stages along with Partizan and Villareal, eliminating Lazio in the process. However, McClaren is aiming for a win to avoid facing a Champions League team in the upcoming third-round draw on Friday. ""It's great to have the opportunity to finish first with a win, but it will be a challenging match,"" McClaren commented. ""When the group was drawn, I believed it was"
381,"David Beckham expressed his satisfaction with Real Madrid advancing to the Champions League knockout stage. Following Real's 3-0 victory over Roma, the England captain acknowledged that another season of falling short of expectations would not be acceptable at the Bernabeu. Beckham stated, ""While it is expected for Madrid to progress, it is a relief for the club and players to secure the win. We experienced a loss of momentum last season, and we cannot afford to endure another season without achieving success."" Real's second-place finish in their Champions League group means they will not face Beckham's former team, Manchester United,"
382,"Referee Graham Poll stated that he followed the rules of the game when allowing Arsenal's Thierry Henry to take a quick free-kick in the 2-2 draw against Chelsea on Sunday. Chelsea was upset when the goal went in while keeper Petr Cech was setting up his defensive wall. Poll explained that he did not need to blow the whistle and asked Henry if he wanted a wall, to which Henry politely requested to take the kick. Poll emphasized that he abided by the laws of the game and dealt with the facts. He recalled a similar incident in a previous match involving Chelsea and West"
383,"Henry informed BBC Radio Five Live that the referee offered him the choice of taking the free-kick immediately or having the wall set back 10 yards, to which he opted for the former. He explained that he delayed the kick to create space, waiting for Eidur Gudjohnsen to move before attempting the shot. Former referees' chief Philip Don supported Poll's decision, stating that the advantage should be given to the non-offending team, which in this case was Arsenal. Don mentioned that referees were instructed to ask players if they preferred a quick free-kick or a ceremonial one, and if"
384,"Michael Johnson, a former Olympic champion, has criticized Britain's top sprinters for their lack of pride and ambition. According to Johnson, British sprinters are primarily focused on being the best in their country rather than excelling on the international stage. He believes that they need to demonstrate more pride in their performances. In response, Linford Christie argued that it is easy to criticize without understanding the challenges of the British system. Earlier this year, Johnson had a dispute with British sprinter Darren Campbell over Campbell's hamstring injury claims following his disappointing performance at the Olympics."
385,"The American continues to have strong criticisms of certain aspects of British sprinting. He stated that British sprinters only seem to get upset or competitive when there is a discussion about who is the best among them. He emphasized that British athletes need to focus on competing internationally and striving to be the best in the world, rather than just the best in Britain. Speaking at a coaches' conference in Birmingham, Johnson also pointed out that despite increased investment in British sprinting, the results have not necessarily improved. He acknowledged that money alone cannot solve all problems and highlighted the contrast between British athletes who receive funding and some"
386,"Ken Bates has successfully acquired Leeds United, finalizing the deal at 0227 GMT on Friday. The 73-year-old former Chelsea chairman now holds a 50% ownership stake in the club. Expressing his excitement, Bates stated, ""I am thrilled to be taking on a leadership role at this exceptional club. I acknowledge Leeds as a prestigious club that has faced challenges in recent times."" He emphasized the need for hard work to restore the club to its former glory in the Premiership, highlighting the importance of fan support in achieving this goal. Bates made the purchase through The Forward Sports Fund, a"
387,"""It's going to be a challenging task, with the initial focus on stabilizing the cash flow and addressing outstanding creditors,"" Bates remarked. ""However, there is hope on the horizon after a prolonged period of crisis management. We can now shift our focus to running the club once more."" Outgoing Leeds chairman Gerald Krasner expressed, ""This agreement secures the club's survival in the medium to long term, and I am confident that Mr. Bates' proposals are in the best interest of the club. We are satisfied that under Mr. Bates' leadership, Leeds United will continue to strengthen and"
388,"After disclosing that a £40 million takeover would be necessary and that the club would face a £10 million loss over the next six months, his attempts were unsuccessful. The club was on the verge of administration and facing a 10-point deduction from the Football League before Bates stepped in, but his investment saved them from that fate."
389,"Newcastle manager Graeme Souness reignited his disagreement with Craig Bellamy by stating that the Welsh player was not up to the standard required for the team. Bellamy departed Newcastle to play for Celtic on loan following a heated argument with Souness. Souness, who avoided mentioning Bellamy by name, criticized the striker for not scoring enough goals. He emphasized that Bellamy's goal-scoring record was insufficient for a club like Newcastle, where two strikers should ideally be scoring close to 20 goals each season. Bellamy opted to join Celtic over Birmingham after a dispute with S"
390,"Souness mentioned that there are some things that can be forgiven and forgotten, but if he had appeared weak in this situation, it would have jeopardized his relationships with the players in the dressing room and his future job prospects. He expressed a desire to return to St James' Park, but it seems improbable that he will play for Newcastle again as long as Souness is in control."
391,"Jose Antonio Reyes has fueled rumors about a potential transfer from Arsenal to Real Madrid following a radio prank. Believing he was speaking to Real Madrid's sporting director Emilio Butragueno, Reyes criticized his teammates and expressed his desire to play for Real Madrid. The 21-year-old expressed his admiration for Real Madrid's style of play and his dissatisfaction with his current situation. Reyes, who joined Arsenal from Seville for £17m in 2004, has been rumored to be homesick. Despite starting the season strongly, he has struggled to maintain his performance levels as Arsenal have fallen behind Manchester"
392,"""I am confident that there are no players from Real Madrid in the dressing room. I am delighted that Madrid is showing interest in me as it has always been my childhood dream to play there."" Reyes had previously downplayed rumors linking him to the Spanish giants, stating through Arsenal that he found the speculation flattering. ""I have seen the reports in the media about a potential move to Real Madrid,"" he mentioned on Thursday afternoon. ""However, I am currently under contract with Arsenal, content here, and fully dedicated to helping the team achieve more success."" Butragueno expressed his frustration at being impersonated"
393,"Despite the power struggle in Scottish rugby that led to the departure of the chairman, chief executive, and three non-executive directors, Matt Williams remains steadfast in his position as national coach. He emphasized his dedication to Scottish rugby and stated that he has no intention of quitting. Williams, who has relocated his family to Scotland, emphasized his commitment to the team and the country. While he refrained from getting involved in the dispute, he made it clear that the national team should not be affected by the political situation."
394,"When embarking on a project like this with the intention of making a positive impact, there will always be individuals who harbor resentment, jealousy, and attempt to undermine your efforts. In such situations, it is crucial to remain steadfast in your beliefs and persevere. Contrary to some misguided comments, the national team did not receive a significant budget increase at the expense of other areas of Scottish rugby. Despite requesting additional funding like any good coach would, we were informed that the financial constraints did not permit it. The notion that we are lavishly spending money while neglecting the rest of Scottish rugby is completely"
395,"Adriano's representative, Gilmar Rinaldi, has emphasized that there has been no communication with Chelsea regarding the striker. Reports suggested that Chelsea had inquired about the 22-year-old Brazilian player from Inter Milan. Rinaldi clarified to BBC Sport from Rio de Janeiro that there have been no discussions between Chelsea, himself, or Adriano. He mentioned that Parma and Real Madrid have shown interest, but this is not new information as their interest has been known for some time. Adriano has been in excellent form this season, scoring 14 goals in 20 Serie A matches."
396,"Jonathan Edwards, the current world outdoor triple jump record holder and BBC pundit, is confident that Phillips Idowu has the potential to win gold at the European Indoor Championships. Idowu's impressive jump of 17.30m at the British trials in Sheffield last month has placed him at the top of the world triple jump rankings. According to Edwards, Idowu's success at the championships will depend on his performance, but if he replicates his outstanding performance in Sheffield, he could secure the gold medal. Despite Idowu's undeniable talent, Edwards notes that his best performances have typically"
397,"Five years ago, Idowu had his breakthrough, but he has only managed to secure a Commonwealth silver medal since then. Edwards prevented Idowu from claiming the top spot at the Manchester Games. However, he sees the European Indoors in Madrid as an opportunity for the 26-year-old to establish himself as Britain's top triple jumper. Edwards stated, ""He needs to start performing at the international level, and this is where it begins."" He also mentioned that Phillips still needs to improve his consistency. Winning in Madrid could boost his confidence and belief in his ability to become the best in the"
398,"What can we learn from the European Indoor trials? In my opinion, we may have around six potential medal contenders for the upcoming European Championships. It was encouraging to witness athletes making progress, new faces emerging, and numerous personal bests being achieved."
399,"Sarah Claxton's victory in the 60m hurdles stood out as the highlight of the track events for me. Achieving sub-eight-second times twice in a week has placed her in a strong position, and if she can replicate this performance in Madrid, she may be in contention for a medal. What made her Sunday performance particularly impressive was the pressure she faced to deliver when it mattered most. Sarah's victory over Diane Allahgreen, who has been our top hurdler for a while, was unexpected and will undoubtedly boost her confidence. In the men's race, Allan Scott showed promise and there"
400,"She follows a complex training program with assistance from various individuals in different disciplines, and it appears to be effective. The athletics event in Sheffield had mixed results. While Jason Gardener won the 60m race, he wasn't performing at his peak. He acknowledged that it was an off-day for him. In the women's race, Jeanette Kwayke was looking forward to competing against defending champion Joice Maduaka, but Joice had to withdraw due to a chest infection. Janine Whitlock made a strong comeback in the pole vault after serving a two-year ban for doping. However"
401,"Scotland's back row situation has deteriorated ahead of the RBS Six Nations as Scott Gray will be unavailable for the opening matches due to a knee injury. This adds to the absence of Donnie Macfadyen and Allister Hogg. Star player Simon Taylor will also miss the first two games due to an ankle injury. Scott MacLeod and Jon Petrie are uncertain for the opener in Paris on 5 February. Gray, who earned his first cap last year, sustained his injury during club play. Scotland's doctor, James Robson, confirmed the extent of Gray's injury and mentioned that"
402,"Flanker Jason White and prop Tom Smith were unable to attend this week's training sessions due to flu. ""We have a number of talented young players emerging, and we need to focus on the opportunities this presents for them, rather than the drawbacks,"" commented Williams. Williams may consider turning to Edinburgh duo Alasdair Strokosch and Simon Cross. Jon Dunbar, a flanker from Leeds Tykes, participated in training with the team, but his eligibility to play for Scotland is still pending verification."
403,"Stuart Pearce, the joint assistant boss, has openly expressed his desire to take over as manager at Manchester City after Kevin Keegan steps down in 18 months. Pearce acknowledged that there will be a managerial vacancy at a top club and stated his intention to apply for the position. However, he remains uncertain whether the board will consider him suitable for the role. Pearce, who started at City as a player under Keegan in 2001 and later joined the coaching staff, was promoted to joint assistant-manager after Arthur Cox left last summer."
404,"The ex-England defender had a stint as player-manager at Nottingham Forest eight seasons ago, and has openly expressed his desire for another opportunity in the role. He was rumored to be a candidate for the managerial position at Oldham, and Keegan has mentioned that he wouldn't stand in Pearce's way if he wanted to leave. However, it seems that Pearce is now inclined to wait for his chance at City. He mentioned, ""By then, I will have been here for five years, so they will have had a good chance to assess me and are aware of my interest in succeeding Kevin."
405,"The Spanish Football Federation has taken disciplinary action against national coach Luis Aragones for making racist comments about Thierry Henry. If Aragones is found guilty, he could be fired or fined approximately £22,000. Initially, the federation had decided not to take action against Aragones for his comments during a national team training session in October. However, the president, Angel Maria Villar, changed his stance following a request from Spain's anti-violence commission. Aragones claimed that the comments he made to Henry's Arsenal teammate, Jose Antonio Reyes, were meant to inspire the player and"
406,"During that time, he stated, ""I never meant to offend anyone, and that's why I have a clear conscience. It's my responsibility to inspire my players to achieve the best results. As part of my role, I communicate using informal language that is easily understood within the football community."" England's players wore anti-racism t-shirts during training before their match against Spain in Madrid last month. However, the situation escalated when Spanish fans racially abused England's black players during the game, which Spain won 1-0. Spain's sports minister, Jaime Lissavetzky, promptly"
407,"In the Dubai Open, Daniela Hantuchova advanced to the quarter-finals by defeating Elene Likhotseva of Russia 7-5 6-4. She is set to face Serena Williams next. Meanwhile, Serena Williams, the Australian Open champion, overcame an early setback to defeat Elena Bovina of Russia 1-6 6-1 6-4. Other players who progressed include world number one Lindsay Davenport and Anastasia Myskina. Davenport beat Jie Zheng of China 6-2 7-5, while Mysk"
408,"Prior to her meeting with Martinez, Davenport acknowledges that there is room for improvement in her performance. She mentioned, ""I had a strong start and finish, but had some mediocre games in between."" Williams, on the other hand, was not satisfied with her performance. She expressed, ""I was unsure of my play. The windy conditions were challenging, and I struggled to control my shots."" However, Hantuchova is optimistic about her upcoming match against Serena Williams, who received a first-round bye. She stated, ""I believe I have an edge over Serena because I have already played two"
409,"Selhurst Park will not permit Manchester United fans wearing Eric Cantona masks this Saturday. The fans had intended to commemorate the 10th anniversary of Cantona's kung-fu kick on Crystal Palace supporter Matthew Simmons by donning the masks. However, Kevin Corner, the stadium manager at Palace, has cautioned that those wearing the masks will be turned away for safety reasons. The planned 'Cantona Day' for United fans, who wanted to honor the player's legacy, will not be allowed to proceed inside the stadium. This decision aims to prevent any potential conflicts between the two fan bases,"
410,"Manchester United and Chelsea, the current holders and leaders of the Premiership, respectively, have challenging away matches against Premiership opponents in the FA Cup fifth round. United will face Everton, while Chelsea will travel to Newcastle. Brentford and Hartlepool, the only teams remaining from lower divisions, will have a replay to determine who will visit Southampton. Burnley, who made it to the last 16, will host Lancashire rivals Blackburn. The upcoming match between Manchester United and Everton could mark the first time teenage striker Wayne Rooney returns to his former club since his controversial £27m transfer."
411,"Nottingham Forest manager Gary Megson may have to return to his former club West Brom if his team advances past Tottenham in the fourth-round replay. Arsenal could face West Ham at home if the Hammers defeat Sheffield United in their replay. Charlton is set to play against Leicester, while Bolton will face either Derby or Fulham in the next round."
412,"West Bromwich Albion or Tottenham will face Nottingham Forest, while Everton will take on Manchester United."
413,"Charlton Athletic will face Leicester City, while Burnley will take on Blackburn."
414,"Southampton will face either Brentford or Hartlepool, while Newcastle will take on Chelsea."
415,"The matches between Arsenal and West Ham, as well as Sheffield United, are scheduled to take place on 19/20 February."
416,"Brian O'Driscoll's two moments of brilliance were instrumental in Ireland's hard-fought victory over Italy. His expertly executed outside breaks led to tries for Geordan Murphy and Peter Stringer. Despite Italy briefly leading 9-8 in the second half, Stringer's try put Ireland ahead for good. The hosts narrowed the gap to 18-12 late in the game and came close to scoring through Ludovico Nitoglia, but Denis Hickie's try sealed the win for Ireland. Italy started strong, taking an early lead with a Luciano Orquera penalty after"
417,"The hosts could have had a better outcome, but the fly-half missed two kickable penalties, allowing Ireland to draw level with a Ronan O'Gara penalty in the first half. Italy put pressure on the Irish defense, causing the Irish pack to struggle to secure possession for their skilled backs in the opening quarter. However, just before the half-hour mark, O'Driscoll set up a brilliant try for Murphy with a clever move, resulting in Ireland taking the lead. Despite O'Gara missing the conversion, Italy regained the lead with two penalties from Roland de Marigny before"
418,"O'Driscoll was the standout player for Ireland, setting up the second try with a break. Horgan's overhead pass led to Stringer scoring, with O'Gara converting. Despite both teams scoring penalties, Ireland led 18-12 going into the final quarter. Italy nearly scored but were denied by a dropped ball and a strong Irish defense. O'Gara extended Ireland's lead with a penalty before Hickie secured the win with a converted try. O'Driscoll and D'Arcy were injured, and Italy scored a late try through Castrogiovanni."
419,"De Marigny, Mi Bergamasco, Canale, Masi, Nitoglia, Orquera, Troncon, Lo Cicero, Ongaro, Castrogiovanni, Dellape, Bortolami, Persico, Ma Bergamasco, Parisse, Perugini, Intoppa, Del Fava, Dal Maso, Griffen, Pozzebon, Robertson."
420,"The list of names includes Murphy, Horgan, O'Driscoll, D'Arcy, Hickie, O'Gara, Stringer, Corrigan, Byrne, Hayes, O'Kelly, O'Connell, S Easterby, Leamy, Foley, Sheahan, Horan, O'Callaghan, Miller, G Easterby, Humphreys, and Dempsey."
421,P O'Brien from New Zealand
422,"The Greek athletics' governing body has delayed the decision on sprinters Costas Kenteris and Katerina Thanou for missing doping tests by two weeks. The athletes, who could face lengthy bans for the missed tests, were supposed to know their fate by the end of February, but new evidence from them has caused a postponement. According to their lawyer, Michalis Dimitrakopoulos, a decision is now expected around mid-March. Kenteris, 31, and Thanou, 30, risk a maximum two-year ban if found guilty. The pair, who withdrew from"
423,"Bath have secured the services of their former scrum-half Andy Williams on a short-term contract from the Neath-Swansea Ospreys. The Wales international, whose deal with the Welsh team was set to end in June, has now signed an agreement until the season's conclusion. Due to Martyn Wood's injury sidelining him until February, Bath required an experienced replacement for Nick Walshe. Williams expressed his enthusiasm for the opportunity, stating that he didn't hesitate to accept it. Having represented Wales against Romania in 2003, Williams is expected to be part of the squad for"
424,"Arsenal manager Arsene Wenger expressed his confusion over Newcastle's position in the bottom half of the table, as the Gunners prepare to face them at St James' Park on Wednesday. Newcastle, currently in 14th place in the Premiership, have had a challenging season. Wenger had anticipated them to be contenders for the top four at the start of the season and is puzzled by their current standing. He suggested that their numerous injuries may have contributed to their current situation."
425,"Arsenal head into the upcoming game following a 2-0 win over Fulham on Sunday. Wenger stated, ""Winning the previous match is the best way to prepare for the next one. We are in good form for the trip to Newcastle."" He also mentioned that fatigue will not be a major issue in the coming weeks due to returning players, allowing for more rotation. Wenger emphasized the importance of utilizing the entire squad, stating that all players deserve a chance. Thierry Henry and Robert Pires scored in the Fulham match, with Henry describing the performance as ""beautiful."" He highlighted the"
426,"Marion Jones has taken legal action against Balco boss Victor Conte for defamation after he accused her of using performance-enhancing drugs. The Sydney Olympic gold medalist claims that Conte's statements have harmed her reputation and is seeking $25 million in damages. Conte, who is under investigation for doping, made the allegations on a US television show. Despite being indicted for various offenses by a federal grand jury, Conte stands by his claims. Jones, who won multiple medals in the 2000 Sydney Olympics, maintains that she has never used banned substances and even passed a lie detector test to prove her innocence."
427,"Mr. Conte lacks credibility and we challenge him to undergo the same lie detector test that Marion Jones successfully completed. The IAAF is approaching Conte's allegations cautiously and has reached out to the US Anti-Doping Agency for more information. Nick Davies, the communications director, mentioned that the IAAF will try to contact Conte for additional details. However, Davies emphasized that it is ultimately up to the American authorities to decide whether to take action against Jones based on Conte's TV interview. The IAAF will closely monitor the situation and if necessary, the USA Track and Field will be responsible for any disciplinary actions."
428,"The Republic of Ireland has scheduled friendly matches against China and Italy at Lansdowne Road in March and August. Brian Kerr's team will play against the 54th ranked Chinese on 29 March, just three days after their World Cup qualifier against Israel in Tel Aviv. Italy will visit on 17 August as a warm-up game before the autumn World Cup qualifiers. The Irish defeated Italy in the 1994 World Cup Finals, which remains their only victory in eight encounters with the Italians, who have won the other seven games. The upcoming match on 29 March will be the second time the Republic"
429,"Finlay Calder, a former Scotland international, is concerned that internal conflict within the SRU could significantly impact Scotland's RBS Six Nations campaign. Following a dispute, four members of the executive board, including chairman David Mackay, have resigned. Calder expressed his dismay, stating that this development is detrimental to all aspects of Scottish rugby. He believed that Mackay, a successful businessman, was capable of addressing the negative atmosphere and increasing debt levels within the organization. The power struggle between Mackay's executive board and the general committee, which comprises members elected by Scotland's club sides, has led to his"
430,"It's puzzling to me that we are still debating this issue a decade after professionalism was introduced. However, I doubt the rest of the SRU will remain passive about it. I believe the banks will be unhappy with the decision, as they are the ones in control. It wouldn't surprise me if they reconsidered their stance. Looking at the bigger picture, what message does this convey? The efforts of Scotland's coaches to revive the national team will face greater challenges. Calder expressed concern that Matt Williams and Willie Anderson might be questioning their decision to join. Instead of anticipating the upcoming Six Nations Championship"
431,"Spain secured their second Davis Cup victory in history when Carlos Moya defeated Andy Roddick of the USA in the fourth rubber in Seville. Moya's 6-2 7-6 (7-1) 7-6 (7-5) win gave the hosts an insurmountable 3-1 lead with only one singles match left. Despite Roddick's efforts and opportunities in the second set, Moya's expertise on clay court made the difference. In the final dead rubber, Mardy Fish defeated Tommy Robredo 7-6 (8-6"
432,"Moya's dream of winning the Davis Cup came true as he took a commanding lead against Roddick, winning the first set and dominating both tie-breaks to secure victory. The emotional celebration that followed saw Moya congratulated by his team-mates, including Nadal, who made history as the youngest Davis Cup victor at 18 years and 187 days. Roddick acknowledged the team's strong performance, admitting they were outplayed by their opponents. Despite the loss, he expressed pride in his effort and determination to improve for future matches."
433,"Arsenal manager Arsene Wenger described their performance in the 3-1 loss to Bayern Munich as ""our poorest showing in the Champions League."" Despite Kolo Toure's late goal providing hope for the second leg, Wenger acknowledged that the team was disappointed. He stated, ""The only silver lining is that we are still in contention. The players are feeling disheartened in the locker room. I believe we delivered a subpar performance. At 3-0, we were in a tough spot, but the 3-1 scoreline at least offers us a glimmer of hope."""
434,"Toure, the goalscorer, was responsible for two goals, and Wenger acknowledged this by stating, ""We must support Toure in rebuilding his confidence as he is currently feeling low."" Wenger also maintained a positive outlook by saying, ""Although it was a tough night, we must keep moving forward. I could dwell on it and cry, which might seem easier, but life goes on. In this profession, there are good and bad moments. This was a bad one, but I still have faith in the skill, determination, and spirit of my players."" On the other hand, Bayern's"
435,"Justine Henin-Hardenne suffered her second consecutive defeat in an exhibition match against Elena Dementieva in Belgium on Sunday. The Belgian, currently ranked eighth in the world due to a virus-related struggle, is gearing up for a challenging Australian Open title defense next month. Despite her uncertainties, Henin-Hardenne believes there will be less pressure this time around, even as the defending champion. Following her 6-2 5-7 6-2 loss to Dementieva in Charleroi, Belgium, she acknowledged the tough competition. The day before, she was"
436,"""I need to stay positive, I still have a few weeks left,"" she stated. ""My body needs to readjust to the stress and rhythm once again."" Henin-Hardenne's ranking dropped in the latter part of 2004 after falling ill in April. Following an initial break, she had to withdraw from the tour for a second time after an early exit at the French Open. Her return at the US Open, after a three-month absence, ended with a defeat in the fourth round. Despite her challenges, she managed to win five out of the nine official tournaments she participated in during"
437,"Chelsea manager Jose Mourinho is anticipating a tough battle in the upcoming Champions League clash against Barcelona. He is excited about facing his former club in the first leg of the last 16 tie at the Nou Camp. Mourinho believes that the match could go down to the wire, possibly even requiring extra time to decide the winner. He is determined to defend his title as the current Champions League winner, emphasizing that he is the last manager to have achieved this feat. Despite never coaching Barcelona himself, Mourinho is not envious of their success, acknowledging their rich history and previous European Cup victory."
438,"""I have been in charge for five years and have the same number of Champions League trophies under my belt."" Barcelona's Ronaldinho acknowledged, ""I anticipate a challenging match against Chelsea as they boast a talented squad with prominent players. I have observed Chelsea on television a few times and they exhibit strong tactical prowess and excel in counter-attacks. Their ability to press effectively and maintain possession makes it crucial for us to stick to our own game plan. In my opinion, both teams are among the top contenders in Europe. Despite this, Barcelona is no stranger to high-stakes matches at the Nou Camp, where"
439,"Mathew Tait of Newcastle center silenced his critics by scoring a try and assisting in another, but was unable to prevent Gloucester from securing a draw. Despite trailing 22-6 at halftime, Tait, who had recently been dropped from the England team after just one Six Nations appearance, inspired his team to take a 27-22 lead. A late try from Luke Narraway allowed Gloucester to level the score, but they missed out on a victory when Henry Paul missed the conversion and Seti Kiole was denied a late try. Newcastle had a couple of opportunities early in"
440,"The ex-All Black player made a break and passed the ball to Tait at the halfway line. Tait then kicked the ball forward for Michael Stephenson to sprint through and score a try, which was converted by Walder, giving Newcastle a chance. They seized the opportunity, with Mayerhofler breaking through and Tait making an impressive run to score from 30m out. Walder converted, making the score 22-20, but missed a 40m penalty in the 70th minute. Mayerhofler later scored a try after a pass from Hall Charlton, and"
441,"Walder, May, Tait, Mayerhofler, Stephenson, Wilkinson, Grindal, Isaacson, Long, Ward, Gross, Hamilton, McCarthy, Harris, Dowson. Substitutes: Peel, Wilson, Thompson, Parling, Sititi, Charlton, Shaw."
442,"Goodridge, Garvey, Simpson-Daniel, Fanolua, and Kiole are in the starting lineup, with Paul and Gomarsall as the halfbacks. Wood, Curnier, and Powell are in the front row, while Eustace and Brown are in the second row. Forrester, Buxton, and Balding complete the starting XV. The replacements are Elloway, Sigley, Cornwell, Narraway, Page, Davies, and Mauger."
