,Text
734,"Thompson scored at 40 minutes, Bellamy at 48, Petrov at 60, Varga at 68, and Bellamy again at 72."
735,"Thomson C 8,200"
736,"Sam Allardyce, the manager of Bolton, has secured the services of Roma defender Vincent Candela on a five-month contract."
737,"On Tuesday, 1 March at Ewood Park."
738,"At 2000 GMT, Howard Webb from South Yorkshire officiated the match."
739,"Leicester will be hosting the quarter-finals, with defender Andy Todd facing suspension and a potential replacement by Dominic Matteo if he overcomes a hamstring injury."
740,"Mark Hughes, the manager of Blackburn, believes that Burnley has individual talent and is resolute, but he fully expects his team to progress."
741,"Part two of an East Lancashire hotpot between Blackburn Rovers and Bolton, which ended in a goalless draw, wasn't as spicy as anticipated during the previous Sunday lunchtime encounter."
742,"Manager Mark Hughes, who has won the Cup four times as a player, is looking to guide Rovers into the quarter-finals for the second time in 12 years, and the first time since the 2000/2001 season."
743,"- Steve Cotterill's Clarets have been eliminated in the fifth round on four occasions in the past seven years, with only one appearance in the sixth round in the last 21 years."
744,Champions of the 16th Premier League title (six times)
745,Champions of the 13th Championship (once)
746,"Graeme Souness, the manager of Newcastle, is nearing a deal to sign Celestine Babayaro, a defender from Chelsea, once the transfer window reopens."
747,"He stated, ""The chairman has put in a lot of effort over the past few months to try to secure deals."""
748,"Mike Ruddock praised his Wales team for their comeback victory against France in the Six Nations, coming from behind to win 24-18."
749,"""It's a special moment,"" he stated, reflecting on the team's progress in the Six Nations over the past two years."
750,Tim Henman came back from saving a match point to defeat his British rival Greg Rusedski 4-6 7-6 (8-6) 6-4 at the Dubai Tennis Championships on Tuesday.
751,"Seeded third, Henman comfortably held his serve with four serve-and-volley winners to establish a clear 5-3 lead."
752,"According to reports, British triple jumper Ashia Hansen has decided against making a comeback this year due to a setback in her recovery from a knee injury."
753,"Jonny Wilkinson, the England captain, will finally return from injury to play against Edinburgh on Saturday."
754,Kelly Holmes will not be able to compete in this weekend's European Indoor Athletics Championships due to a hamstring injury sustained during training.
755,"The 34-year-old athlete started the season cautiously but showed her top form by winning the 1,000m title at the Birmingham Grand Prix 10 days ago."
756,"From the beginning of next season, Uefa has announced that European matches can be played on artificial pitches."
757,The back and front pages of the country's press on Thursday were dominated by England's 1-0 defeat to Spain on Wednesday.
758,There is limited reporting on the racist chanting during Wednesday night's game.
759,"In other places, the Spanish media criticizes its English counterparts for fueling the racism issue."
760,"Marca's headline sums it up: ""Wayne Rooney went crazy at the Bernabeu."""
761,"The home team receives more praise, as Jaime Vargas compliments the way ""Spain dominated England with order and quality""."
762,"Arsene Wenger, the manager of Arsenal, has agreed to a new contract that will keep him at the club until May 2008."
763,"The 55-year-old Frenchman expressed to Arsenal's website www.arsenal.com: ""My intention has always been clear. I love this club and am very happy here."""
764,"Alan Curbishley, the Charlton manager, praised two-goal striker Jonatan Johansson after their victory over Norwich."
765,"The Six Nations has brought about a new era in northern hemisphere rugby this year, with Wales and Ireland set to potentially face off in a Grand Slam play-off in three weeks' time instead of the traditional powerhouses France and England."
766,England's worst run in the championship since captain Richard Hill was replaced by Mike Harrison after three consecutive losses in 1987 is currently being experienced.
767,"However, they have not claimed the title since 1985 and last secured a Grand Slam in 1948."
768,"Friday, February 25th at Sixways"
769,"At 2000 GMT, only one substitution is made, as Tim Collier takes the place of Phil Murphy in the second row."
770,"Delport; Pieters, Rasmussen, Lombard, O'Leary; Brown, Powell; Windo, Van Niekerk, Horsman; Collier, Gillies; Hickey, Sanderson, MacLeod- Henderson. Replacements: Fortey, Murphy, Daly, Vaili, Cole, Hayes, Trueman. 

Alternative: The lineup includes Delport, Pieters, Rasmussen, Lombard, O'Leary; Brown, Powell; Windo, Van Niekerk, Horsman; Collier, Gillies; H"
771,"Hanley, Mayor, Payne, Rhys Jones, Wigglesworth; Hercus, Redpath (capt); Turner, Roddam, Stewart; Day, Schofield; Caillet, Carter, Chabal. Replacements (from): Bozzi, Coutts, Anglesea, Lund, Martens, Riley, Duffy, C Jones. 

Hanley, Mayor, Payne, Rhys Jones, Wigglesworth; Hercus, Redpath (capt); Turner, Roddam, Stewart; Day, Schofield; Caillet, Carter, Chabal. Substit"
772,"Imanol Harinordoquy, the number eight, has been excluded from France's team for the Six Nations game against Ireland in Dublin on 12 March."
773,"Rougerie injured his chest playing against Wales, while Grandclaude came on as a substitute in the second half against both England and Wales."
774,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive) Sylvain Marconnet (Stade Francais), Nicolas Mas ("
775,Greg Rusedski had to pull out of the Open 13 in Marseille due to a rib injury on Thursday.
776,Lleyton Hewitt was unexpectedly defeated by Taylor Dent in the quarter-finals of the Australian Hardcourt Championships in Adelaide on Friday.
777,"I felt that having numerous opportunities to break, I didn't capitalize on all of them, but I managed to break him four times while he only broke me once."
778,"Starting 2005, Kelly Holmes will participate in a series of races in Britain."
779,"Birmingham has confirmed that Blackburn made a bid for Robbie Savage, which managing director Karen Brady has described as ""derisory."""
780,The fans adore him for embodying their values.
781,"London Marathon organisers are optimistic that Susan Chepkemei, a banned athlete, will participate in this year's race on 17 April."
782,Juninho's representative has confirmed that the player is eager to discuss with Martin O'Neill as the Brazilian midfielder nears his departure from Celtic.
783,The agent emphasized that Juninho's father's presence in Scotland and the discussions about a potential return to Botafogo in Brazil should not be overanalyzed.
784,"Kieran Campbell, the Ulster scrum-half, is among the five uncapped players selected for Ireland's RBS Six Nations squad."
785,"Ulster's largest representation in a training panel for quite some time includes David Humphreys, Kevin Maggs, Simon Best, and Tommy Bowe once again."
786,"T Bowe (Ulster), K Campbell (Ulster), G D'Arcy (Ulster), G Dempsey (Leinster), G Duffy (Harlequins), G Easterby (Leinster), D Hickie (Leinster), A Horgan (Munster), S Horgan (Leinster), D Humphreys (Ulster), K Maggs (Ulster), G Murphy (Leicester), B O'Driscoll, (Leinster), R O'Gara (Munster), S Payne (Munster),"
787,"Andy Robinson, the England coach, emphasizes the need for immediate action to prevent injuries from ruining players' careers."
788,"Since rugby union turned professional nearly a decade ago, the sport has become significantly more physically demanding."
789,The first major upset at the Australian Open occurred when fifth seed Carlos Moya was defeated by fellow Spaniard Guillermo Garcia-Lopez on Monday.
790,"Andre Agassi, a four-time champion, kicked off what might be his final Australian Open with a convincing victory over German qualifier Dieter Kindlmann."
791,2004 will not go down in history as a great year for Irish athletics.
792,"Returning to the pre-Olympic ranch in Greece, it must have appeared that things couldn't have deteriorated further, but they came perilously close when walker Jamie Costin narrowly escaped with his life following a car accident near Athens."
793,"Arsene Wenger, the Arsenal boss, has stated that he does not intend to acquire a new goalkeeper in the January transfer window."
794,Almunia was responsible for Rosenborg's goal in Arsenal's 5-1 Champions League victory on Tuesday and had some tense moments in last week's win over Birmingham.
795,"On Saturday, 26 February, in Murrayfield, Edinburgh."
796,"At 1400 GMT, BBC1, Five Live, and this website will be broadcasting."
797,Scotland ended their campaign without a victory after the Azzurri triumphed in Rome last year.
798,Remaining composed during challenging moments will be crucial - especially in the pivotal moments of the game.
799,"Paterson, C; Webster, S; Craig, A; Southwell, H; Lamont, S."
800,"R de Marigny, Mirco Bergamasco, C Stoica, A Masi, L Nitoglia, L Orquera, A Troncon, A Lo Cicero, F Ongaro, M Castrogiovanni, S Dellape, M Bortolami (capt), A Persico, D Dal Maso, S Parisse, G Intoppa, S Perugini, CA del Fava, S Orlando, P Griffen, R Pedrazzi, KP Robertson."
801,"Justin Gatlin and Joanna Hayes, American Olympic stars, have been awarded the 2004 Jesse Owens Awards, the top honor from USA Track & Field (USATF)."
802,The awards for 2004 will be given out on 3 December during the USATF annual meeting in Portland.
803,Chelsea secured a victory against a resilient Portsmouth team just when it seemed like the Premier League leaders would have to settle for a draw.
804,The midfielder hit a bending long-range shot that keeper Petr Cech managed to tip over at full stretch.
805,"Hislop, Griffin, Primus, De Zeeuw, Taylor, Stone (Cisse 76), Quashie (Berkovic 83), Faye, O'Neil, Kamara (Fuller 65), Yakubu. Subs Not Used: Berger, Ashdown. 

Alternative: Hislop, Griffin, Primus, De Zeeuw, Taylor, Stone (Cisse 76), Quashie (Berkovic 83), Faye, O'Neil, Kamara (Fuller 65), Yakubu were the players in the lineup"
806,"Kamara, Cech, Paulo Ferreira, Gallas, Terry, Johnson, Duff, Makelele, Smertin (Cole 73), Lampard, Robben (Geremi 81), Drogba (Gudjohnsen 58) were part of the team."
807,"Cudicini and Bridge were not used as substitutes, while Paulo Ferreira, Robben, and Lampard were also not used."
808,"Robben scored 79, while Cole scored 90. 20,210 fans were in attendance."
809,A Wiley in Staffordshire.
810,Four British athletes have been pre-selected to compete at the World Cross Country Championships in March following impressive performances at the start of the season.
811,Carlos Moya has decided to skip helping Spain defend the Davis Cup title they won in Seville in November.
812,"On Sunday, Moya kicked off 2005 with a win at the Chennai Open."
813,"Kelly Holmes of Britain achieved a 1500m victory at the Norwich Union International, her first race on home soil since winning double Olympic gold."
814,Sania Mirza's impressive ascent continued as she secured a victory over US Open champion Svetlana Kuznetsova at the Dubai Championships on Tuesday.
815,"Mirza, who quickly fell 4-0 down, staged a dramatic comeback that thrilled the large Indian contingent in the crowd."
816,BBC Sport examines the future of Liverpool following our exclusive interview with chief executive Rick Parry.
817,"Liverpool's last championship victory dates back to 1990, a fact that is causing deep discomfort at Anfield as they strive to challenge Chelsea, Manchester United, and Arsenal for a top-three spot."
818,"Captain Gerrard is a key figure in Liverpool's plans, and Parry's firm declaration that all offers will be turned down is a clear indication of their intentions."
819,"Morgan, however, has not had any formal communication with Liverpool or their advisors since last December, citing indecision at the board level as he publicly withdrew his £70m offer."
820,"Liverpool's stance on stadium sponsorship and naming rights has been made clear, but Arsenal's lucrative deal for the Emirates Stadium has prompted a shift in perspective."
821,"If someone offered £50m for Gerrard, the Directors would accept the money, and that's how it should be."
822,"Liverpool is facing a crucial moment concerning Gerrard, and it is crucial to ensure his long-term commitment to the club."
823,Parry's remarks are astute because any potential Gerrard transfer cannot be seen as a sign of the club lacking ambition to retain their top players.
824,"If Gerrard declares that he is content, that is crucial."
825,"France has recalled flanker Serge Betsen to their squad for the match against England at Twickenham on Sunday, despite him having to attend a disciplinary hearing on Wednesday."
826,Laporte expressed his confidence that Betsen would be cleared by the panel investigating his alleged trip that resulted in Wasps centre Stuart Abbott's leg being broken.
827,"In your heart, do you possess it?"
828,"Connors, unlike his long-time rival John McEnroe, is not the first great name to offer his services to the LTA."
829,"According to BBC Sport, it is understood that Newcastle striker Craig Bellamy is in talks about a potential short-term loan switch to Celtic."
830,"Bellamy received a fine equivalent to two weeks' wages following a live TV interview where he accused Souness of lying, amidst a highly publicized disagreement over Bellamy's position in the team."
831,"Derartu Tulu, the two-time Olympic 10,000 metres champion, has confirmed her participation in the BUPA Great Caledonian Run in Edinburgh on 8 May."
832,Ashley Cole has declined to hold Robin van Persie responsible for leaving Arsenal without any fully-fit strikers for the FA Cup fifth round replay at Sheffield United.
833,Disciplinary action has been initiated by Spain's Football Federation against national coach Luis Aragones for racist comments about Thierry Henry.
834,"He mentioned at that time that he never had the intention of offending anyone, and as a result, he has a clear conscience."
835,"Replacing Gareth Thomas as Wales' captain will be a straightforward task due to the leadership qualities present in the squad, according to Wales number eight Michael Owen."
836,"Owen acknowledged that the Grand Slam had been discussed within the team, but emphasized that nobody was becoming overly confident despite the three victories over England, Italy, and France."
837,Tom Shanklin has been selected to play in the center for Wales against England in Cardiff on Saturday due to Sonny Parker's inability to recover from a trapped neck nerve.
838,"Sidoli returns for the first time since the last Six Nations, with the Blues' second row back in form following a lingering groin issue."
839,"R McBryde from Scarlets, J Yapp from Blues, J Thomas from Ospreys, R Jones from Ospreys, G Cooper from Dragons, C Sweeney from Dragons, and K Morgan from Dragons."
840,"According to Wales coach Mike Ruddock, John Yapp possesses the qualities needed to succeed at the international level."
841,Young informed BBC Sport Wales that John has been consistently improving throughout the season and is continuing to progress.
842,"Cristiano Ronaldo, the winger for Manchester United, mentioned that he is nearing a deal for a new contract at Old Trafford."
843,"The future is uncertain, but I enjoy being here."
844,"Sol Campbell from Arsenal described the rivalry between Manchester United and the Gunners as ""intense and personal""."
845,The 30-year-old mentioned that the controversial penalty awarded for United's first goal had a psychological impact on them due to the way they were defeated.
846,Dundee United cruised into the semi-final of the Scottish Cup with a convincing victory over Aberdeen.
847,"Four minutes before the end of an exciting first half, United extended their lead by two goals."
848,Kenneth Dodds and Brebner are Colgan's colleagues.
849,"Archibald is 19 years old, Grady is 29, Crawford is 41, and Grady is 47. Esson, Hart, Anderson, Diamond, Byrne (Morrison 75), McNaughton, Heikkinen (Foster 27), Winter, Clark (Stewart 51), Mackie, Whelan."
850,Blanchard and McGuire are the same as Anderson and Diamond.
851,"Byrne is 33 years old and has 8,661 followers."
852,K Clark is a university student.
853,James McIlroy achieved his second international victory in less than a week by winning the men's 800m at the TEAG indoor meeting in Erfurt.
854,Norwich have secured the services of Charlton midfielder Graham Stuart until the end of the season for an undisclosed fee.
855,"A former England Under-21 international, Stuart played 110 games for Chelsea and scored 18 goals before moving to Everton."
856,The reorganization at youth level by the Welsh Rugby Union has resulted in the Wales Students rugby side being discontinued.
857,"Michelle Collins, a sprinter, has been given an eight-year ban for doping violations following a hearing at the North American Court of Arbitration for Sport (CAS)."
858,Drug enforcement chiefs in the US have pledged to take strong action against cheaters.
859,Allan Scott is optimistic about securing a medal at the upcoming European Indoor Championships following a strong performance on the international stage.
860,"Robert Kronberg of Sweden finished in second place, followed by Haiti's Dudley Dorival in third."
861,Action will be taken by the FA following disturbances at the Carling Cup match between Chelsea and West Ham on Wednesday.
862,"Steve Clarke, the assistant boss of Chelsea, expressed his preference to discuss football rather than the incident, which they believe involved an object thrown from the crowd and did not result in the need for stitches."
863,"Greek sprinter Kostas Kenteris refuted allegations of staging a motorbike crash to avoid a doping test just before the Olympics, emphasizing that the accident was genuine."
864,"During a controversy that made headlines in Greece as Athens geared up for the start of the Athens Games, Kenteris and Thanou eventually decided to withdraw."
865,"Rangers are planning to loan out-of-favour midfielder Dragan Mladenovic to Real Sociedad, despite the January transfer window being closed."
866,"At the Fayetteville Invitational meeting, LaShawn Merritt, a teenager, achieved the third fastest indoor 400m time of all time."
867,"Continuing his impressive performance, Cragg won a close 3,000m race in 7:40.53."
868,"Additionally, he secured another victory, enhancing his season-best time to 7.51 seconds."
869,Brian O'Driscoll from Ireland is among the four Six Nations captains selected for the Northern Hemisphere squad in the IRB Rugby Aid match on 5 March.
870,"L Dallaglio (England), B Cohen (England), A Rougerie (France), D Traille (France), F Pelous (France), R Ibanez (France), P de Villiers (France), B O'Driscoll (Ireland, capt), P O'Connell (Ireland), D Humphreys (Ireland), C Paterson (Scotland), C Cusiter (Scotland), G Bullock (Scotland), S Taylor (Scotland), A Lo Cicero (Italy), M Bortolami (Italy), S Parisse (Italy), D"
871,"Jonny Wilkinson, the 25-year-old Newcastle star, has been appointed as England's new rugby union captain for the three November Tests, succeeding Lawrence Dallaglio who retired from internationals in August."
872,"I am confident that Jonny has the necessary skills to excel in the upcoming Rugby World Cup in France, and I am excited to collaborate with him."
873,"Since then, he has been a consistent presence in the England starting line-up, participating in all three Lions Tests in 2001 and nearly all of England's matches in the 2003 World Cup."
874,"In the final of the Hopman Cup, Slovakia secured a 3-0 victory over Group B rivals the Netherlands, setting up a match against Argentina."
875,"Meghann Shaughnessy was defeated in the opening match by Alicia Molik, but James Blake evened the score with a 6-3 6-4 victory over Paul Baccanello, who replaced the injured Mark Philippoussis."
876,"Blackburn striker Matt Jansen will be sidelined for three weeks due to surgery for a cartilage issue, while central defender Lorenzo Amoruso is nearing full fitness after a knee operation."
877,"Shortly after Mark Hughes took over as Blackburn boss, he returned to first-team action and scored a goal against Portsmouth in his first game of the season."
878,"Joachim Johansson, the second seed, clinched his second career title by defeating Taylor Dent 7-5 6-3 at the Australian hardcourt championships in Adelaide."
879,"Before Wednesday's international friendly against Hungary in Cardiff, Wales are facing a number of injury concerns."
880,"Coyne (Burnley), Jones (Wolves), Roberts (Wrexham), Collins (Sunderland), Edwards (Wolves), Gabbidon (Cardiff), Page (Cardiff), Partridge (Motherwell), Ricketts (Swansea), Roberts (Tranmere), Weston (Cardiff), Davies (Tottenham), Fletcher (West Ham), Giggs (Man Utd), Koumas (West Brom), Robinson (Sunderland), Savage (Blackburn), Williams (West Ham), Bellamy (Newcastle), Earnshaw (West Brom), Hartson ("
881,Maurice Greene is determined to overcome the disappointment of losing his Olympic 100m title in Athens by securing a fourth World Championship crown this summer.
882,I felt as though I was running by myself.
883,Greg Rusedski has expressed his dissatisfaction with the men's tennis governing body for not making contamination-free supplements available in time for the new season.
884,"David Higdon, the Vice President of the ATP, acknowledged that he shared Greg's opinion."
885,"Rangers secured a scrappy victory at Celtic Park, moving three points clear of the champions with goals from Gregory Vignal and Nacho Novo."
886,"Douglas, McNamara, Balde, Varga, Laursen, Petrov, Lennon, Sutton, Thompson, Bellamy, Hartson."
887,"Waterreus, Hutton, Kyrgiakos, Andrews, Ball, Buffel, Ferguson, Ricksen, Vignal, Prso, Novo. Subs: McGregor, Namouchi, Burke, Alex Rae, Malcolm, Thompson, Lovenkrands. 

Alternative: Waterreus, Hutton, Kyrgiakos, Andrews, Ball, Buffel, Ferguson, Ricksen, Vignal, Prso, Novo. Substitutes include McGregor, Namouchi, Burke, Alex Rae, Malcolm, Thompson, Lovenkrands."
888,M McCurry is a university student.
889,"Paul Brizzel, a sprinter from Ballymena, will be one of eight Irish hopefuls competing in this weekend's AAA's Championships, vying for a spot in the European Indoor competition."
890,"Sarah Claxton, a British hurdler, believes she can secure her first major medal at the upcoming European Indoor Championships in Madrid."
891,"Claxton has solely been focusing on preparing for a campaign over the hurdles for the first time, potentially accounting for her improved performance."
892,"The final six minutes of the match between Real Madrid and Real Sociedad, which was interrupted due to a bomb scare on Sunday, will be completed on 5 January."
893,"After the game was called off, hundreds of fans made their way across the pitch towards the exits."
894,The boss of the organization that cleared sprinters Kostas Kenteris and Katerina Thanou of missing a drugs test has stated that their careers are finished.
895,"He mentioned that we were assigned the responsibility of removing the snake from its hole, but we were not provided any proof to accomplish it."
896,"Jade Johnson, despite winning the AAAs long jump title on Saturday with a personal best of 6.50m, is unsure about competing in next month's European Indoor Championships in Madrid."
897,A last-minute dropped goal by Ronan O'Gara secured a victory for Ireland against Argentina at Lansdowne Road on Saturday.
898,"When the 44-man Lions tour squad is announced, Toulouse's former Irish international Trevor Brennan might be one of Clive Woodward's many surprises."
899,"Brennan is highly regarded at Stade Toulousain, where he is utilized in various positions within the back five."
900,"At Wimbledon on Monday, Tim Henman was awarded player of the year for 2004 by the Lawn Tennis Association."
901,The team of the year prize was won by Great Britain's under 14 boys for their victory at the World Junior Tennis event in August.
902,"Imanol Harinordoquy, the number eight, has been excluded from France's team for the upcoming Six Nations game against Ireland in Dublin on 12 March."
903,Rougerie injured his chest against Wales while Grandclaude came on as a second-half replacement against both England and Wales.
904,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive) Sylvain Marconnet (Stade Francais), Nicolas Mas ("
905,"Henk Ten Cate, the assistant coach of Barcelona, has criticized Chelsea's expected complaint to Uefa as ""pathetic""."
906,"Thomas Giordano, the Uefa delegate, mentioned that the only unusual event was Chelsea's absence from the press conference."
907,"Darren Campbell is aiming to run faster than ever before, as he has chosen not to retire from sprinting."
908,"The Newport-based athlete and his team-mates Jason Gardener, Marlon Devonish, and Mark Lewis-Francis were honored with MBEs in the New Year Honours List."
909,"Stephen Jones, the Wales fly-half, was pleased to entrust Gavin Henson with the responsibility of taking the match-winning kick against England."
910,"His defense was exceptional, he delivered some excellent tackles, and he had a fantastic game. ""I'm pleased he's Welsh."""
911,"Robbie Weir, the teenage star from Larne, is set to join Sunderland after rejecting an offer from Stoke City."
912,"In my opinion, it would be preferable for him to focus on developing his physical strength at the local level before transitioning to professional play."
913,"Sven-Goran Eriksson, the England coach, has announced that Shaun Wright-Phillips will be in the starting lineup against the Netherlands, but not in the expected left position."
914,"On Friday, 25 February, at Headingley."
915,"At 2000 GMT, the Tykes have signed Newcastle prop Ed Kalman and Tom McGee from the Borders on loan, and fly-half Craig McMullen has joined from Narbonne."
916,Friday's match at Headingley was given the green light after passing an early pitch inspection.
917,Sir Bobby Robson has given Chelsea boss Jose Mourinho some advice on handling pressure.
918,"The recent events will greatly benefit him in the future, and if he is intelligent, he will absorb it - and he is very intelligent."
919,"Bernard Laporte, the coach of France, believes that his team will feel apprehensive when facing England on Sunday, but he thinks it will be beneficial for them."
920,Ajax has declined to disclose whether Tottenham's manager Martin Jol is being considered for the position of the new coach at the Amsterdam club.
921,"Andy Robinson, the England coach, is facing his first major challenge as he looks to bounce back from the Six Nations defeat by Wales and return to winning ways."
922,"Tait, who had few chances to showcase his attacking skills, was praised by Robinson despite acknowledging that Cardiff was a tough environment for the young talent."
923,Hearts secured their Scottish Cup quarter-final tie against Livingston by scoring two goals in the first 10 minutes.
924,McAllister then received a pass from Stephen Simmons and took an angled shot from 20 yards that narrowly missed Meldrum's far post.
925,"Kizys Moilanen, Webster Berra."
926,"Miller 1, McAllister 10."
927,"McKenzie, Hand. : Vincze, Horvath. 

Hand, McKenzie. : Vincze, Horvath."
928,"Easton has a population of 9,796, according to the latest census data."
929,A Freeland is a student at the university.
930,Ireland kept their hopes of achieving a Six Nations Grand Slam alive with a convincing win over Scotland at Murrayfield.
931,"Scotland deservedly scored a try after Paterson's break and Craig's pass set up Southwell in the right corner, following their early pressure."
932,"On the resumption, Scotland faced another setback when Ireland flanker Johnny O'Connor secured a crucial turnover, leading to Hickie scoring in the left corner after O'Gara's precise pass."
933,"R Russell, B Douglas, N Hines, J Dunbar, M Blair, G Ross, B Hinshelwood. G Murphy; G Dempsey, S Horgan, K Maggs, D Hickie, R O'Gara, P Stringer; R Corrigan, S Byrne, J Hayes, M O'Kelly, P O'Connell, S Easterby, J O'Connor, A Foley are part of the team."
934,"F Sheahan, M Horan, D O'Callaghan, E Miller, G Easterby, D Humphreys, G Duffy were officiated by Joel Jutge (France)."
935,Nottingham Forest has confirmed the receipt of an £8m bid from Tottenham for Andy Reid and Michael Dawson.
936,"The Championship club had rejected previous offers of £3m, £4m, and £5m for Reid from Spurs."
937,Amelie Mauresmo and Maria Sharapova emerged victorious in their first matches at the Tour Championships in Los Angeles.
938,Mauresmo has won nine consecutive matches as she aims to surpass Lindsay Davenport for the top spot.
939,Jo Pavey has decided to skip the January's View From Great Edinburgh International Cross Country event in order to focus on preparing for the European Indoor Championships in March.
940,"Clive Woodward, the coach of the British and Irish Lions, has stated that he is unlikely to choose any players who are not participating in the upcoming RBS Six Nations Championship."
941,"It is absolutely critical, given the Lions' history, that we select players representing all four countries."
942,"According to Belgian authorities, Svetlana Kuznetsova, the US Open champion, has tested positive for a banned drug."
943,"Speaking at the Australian Open on Monday, Kuznetsova expressed her lack of concern and clarified that she is not using any substances to enhance her performance."
944,"Gordon D'Arcy will not be playing for the Ireland team in Saturday's Six Nations clash against Scotland in Murrayfield, as he failed to recover from a hamstring injury, just like skipper Brian O'Driscoll."
945,"Maggs, who is set to earn his 67th cap, was the clear choice to replace at centre, while Shane Horgan was expected to be shifted from the wing."
946,"Sheahan, Horan, O'Callaghan, Miller, G Easterby, Humphreys, Duffy are the names listed."
947,"Newcastle imposed a fine of two weeks' wages on their Welsh striker Craig Bellamy, amounting to approximately £80,000, due to his dispute with manager Graeme Souness."
948,"Shepherd strongly refuted Bellamy's assertion that Souness had lied about the background to the altercation, accusing the striker of deceiving the club."
949,Andre Agassi's participation in the Australian Open was uncertain following his withdrawal from the Kooyong Classic due to a hip injury.
950,"He added that the tightening up of the tear could be your body's way of protecting itself, which is hopefully the main issue."
951,Carlos Moya considered Spain's Davis Cup triumph as the pinnacle of his career after defeating Andy Roddick to eliminate the USA's challenge in Seville.
952,"At 18 years and 185 days old, the Mallorcan became the youngest player to win the Davis Cup."
953,"Kelli White, the banned American sprinter, admitted to knowingly taking steroids provided by Victor Conte, the president of Bay Area Lab Co-Operative (Balco)."
954,"White stated in the LA Times that his entire perception of Victor was centered around him selling a product, whether it was good or bad."
955,"On Sunday, 27 February, in Lansdowne Road, Dublin."
956,"At 1500 GMT, you can tune in to BBC1, Radio 4 LW, or visit this website."
957,"Ireland is aiming for their first Grand Slam since 1948 after securing two initial victories, with England posing as their toughest challenge in the Championship so far."
958,"Despite Gordon D'Arcy still being out injured, Ireland has been boosted by the return of star skipper Brian O'Driscoll, who missed the Scotland game with a hamstring injury."
959,"G Murphy; G Dempsey, B O'Driscoll, S Horgan, D Hickie; R O'Gara, P Stringer; R Corrigan, S Byrne, J Hayes; M O'Kelly, P O'Connell; S Easterby, J O'Connor, A Foley. F Sheahan, M Horan, D O'Callaghan, E Miller, G Easterby, D Humphreys, K Maggs. 

Alternative: The team lineup includes G Murphy, G Dempsey, B O'Driscoll, S Horgan, D"
960,"J Robinson is the captain, with M Cueto, J Noon, O Barkley, J Lewsey, C Hodgson, H Ellis, G Rowntree, S Thompson, M Stevens, D Grewcock, B Kay, J Worsley, L Moody, and M Corry in the team."
961,"Vahid Hashemian, the Iranian striker, will not be traveling to Israel for Bayern Munich's Champions League match against Maccabi Tel Aviv on Wednesday due to a back injury, as confirmed by the German club."
962,American Taylor Dent advanced to the final of the Australian hardcourt event in Adelaide by defeating Argentine Juan Ignacio Chela 6-1 6-1.
963,Richard Dunne is prepared to pledge his future to Manchester City for the long term after reviving his career.
964,"Dunne is eager to move on from that period of his life and stated: ""I've matured significantly and the manager considers me one of the most experienced players in the squad."""
965,"Tama Umaga, the captain of the All Blacks, has cautioned that the British and Irish Lions will be his toughest opponents yet during their upcoming summer tour."
966,"When Woodward was appointed last year, there was a widespread belief that he would heavily rely on his former England players."
967,"Umaga acknowledged that the fear of injury was on his mind before the charity game on Saturday, which will feature prominent players such as George Gregan, Andrew Mehrtens, and Chris Latham."
968,"Martin Johnson, the former England captain, has announced his retirement from rugby union at the end of the season."
969,He is the sole man who has captained the Lions twice and also led England to a Six Nations Grand Slam.
970,Sir Alex Ferguson has urged the Football Association to take action against Thierry Henry of Arsenal for an incident involving Gabriel Heinze.
971,The striker claimed his innocence - and referee Mike Riley ruled the collision as accidental.
972,"In the past year, there has been a standout player in men's tennis and a dominant country in the women's game."
973,"Before defeating Marat Safin in the final, he tore through the draw."
974,Henman made history by reaching the semifinals on clay at the French Open - a remarkable achievement - and also at the US Open.
975,"Henin-Hardenne's year was marred by a virus, although she managed to win Olympic gold while being in good physical condition."
976,"Defiant Matt Williams insists he will not resign as Scotland coach, even if his team suffers a defeat by Italy at Murrayfield, potentially making them favorites to win the Wooden Spoon for the second consecutive year."
977,He inquired how a German football coach and an Australian rugby coach could share any similarities.
978,Now that's what I consider a challenging game.
979,The new ruck law has made it a bit more challenging to advance out of our own half.
980,"Jose Mourinho, the Chelsea boss, will not be facing any Football Association action for his comments following their Carling Cup tie with Manchester United."
981,"Perhaps by the time I reach 60 years old and have spent two decades managing in the same league, earning the respect of everyone, I will possess the authority to address people in a way that instills a sense of fear in them."
982,"Carolina Kluft, the Olympic heptathlon champion, expressed her admiration for Britain's Kelly Sotherton as they prepared to compete in Birmingham."
983,"The match between Arsenal and Chelsea at Highbury ended in a draw, with Thierry Henry scoring a stunning goal for Arsenal."
